@relation train

@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute a4 real
@attribute a5 real
@attribute a6 real
@attribute a7 real
@attribute a8 real
@attribute a9 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 {1,2,3,}

@data
-0.250693,0.093464,-0.027654,-0.017902,0.411864,-1.563353,-1.554208,-1.183448,-0.019537,0.234146,-0.225400,0.370305,0.320533,-0.066381,0.064159,0.296948,0.078387,0.064159,0.883072,0.763732,0.842702,0.849433,0.965406,0.941070,1.496099,0.812751,0.976556,0.824653,0.812752,0.824653,0.000000,2
-0.535185,0.855899,0.467760,0.300648,-1.795278,-0.560077,-0.590710,1.972414,-0.869542,-1.572301,1.066633,1.379784,1.255329,-0.805444,-0.227863,-0.890030,-0.497195,-0.227863,0.927658,0.486750,1.391049,0.889153,0.921122,1.154598,-1.276942,0.399177,0.712492,0.350359,0.399178,0.350359,-1.030283,1
0.248170,0.411925,0.749287,0.272449,0.029368,0.577589,0.431921,0.867088,0.250221,-0.461235,0.483996,-0.129685,-0.642845,0.618245,-0.456812,-1.227883,0.460059,-1.039690,-1.649207,-1.538020,-1.508569,-1.481922,-1.675746,-1.565568,-0.703484,-1.599343,-1.518115,-1.455584,0.395287,0.404616,1.283937,3
-0.138039,-0.474163,-0.503338,-0.222033,0.017023,-0.577408,-0.005752,-0.244802,-0.110453,-0.090435,-0.075847,-0.125824,0.163131,-0.045092,-0.004631,0.296043,0.166610,-0.033498,-1.369329,-1.111569,-0.959549,-0.873350,-1.332534,-2.146135,-0.358121,-1.389536,-2.395346,-1.175003,-1.410649,-1.175002,0.256262,2
0.173737,-0.176049,1.108956,-0.038113,0.073721,0.643215,1.594420,1.417082,0.515573,0.197935,0.568060,0.560921,0.183197,0.141568,0.209376,0.434012,0.676783,0.209376,0.557051,0.343504,0.705587,0.425998,0.860955,0.788062,0.741344,0.165142,-0.030640,0.570693,0.172149,0.570692,0.127342,2
-0.410266,2.023684,0.194155,-0.165856,0.090905,-0.091753,1.180333,0.851455,0.474928,0.061265,0.794647,-0.063802,1.544758,0.555112,0.878158,-1.374357,0.736177,0.812973,-1.235825,1.089050,-1.440409,1.492679,-1.120615,-2.293714,-0.935077,-1.070150,-2.343070,-0.914467,0.614203,0.586998,0.844463,2
-1.002050,0.282210,0.228547,-1.081109,0.562902,-0.235523,-0.419184,-0.443672,0.461849,0.217106,0.482458,1.702287,1.693644,-0.881636,-1.536716,0.696055,-0.018548,-1.536714,0.633635,0.544625,0.623454,0.478184,0.642029,0.819076,0.541027,0.667484,0.823297,0.653530,0.667485,0.653530,0.115478,2
0.921223,-0.996582,-1.069850,0.834246,1.696758,0.454097,0.708351,0.278852,1.800006,1.906164,1.567780,1.521030,0.444397,1.207779,0.383455,1.394161,1.545761,0.394714,-0.969800,-1.054367,-0.854233,-0.952437,-0.997767,-0.702460,0.768548,-1.033959,-0.736126,-0.960179,-1.034362,-0.958379,0.276441,1
0.733342,-1.431960,-1.470666,0.737917,0.841281,0.029346,0.140472,0.133414,0.233533,0.679950,-0.347304,0.236941,-0.993135,-1.559939,0.056074,0.896142,-1.446236,0.167695,0.639697,-0.346590,0.624901,-0.115329,0.599424,1.276240,-0.555986,0.511360,1.231099,-0.159401,-1.448248,-1.446938,-0.913107,2
-1.112071,-0.399972,-0.445161,-1.112877,-0.813816,-0.734135,-1.193503,-0.694889,-1.035267,-0.942456,-1.016066,-1.015662,1.157613,-1.096290,-0.341001,-0.945533,-0.949774,-0.341001,-0.160065,-0.178030,-0.207024,-0.409612,-0.192868,-0.031031,-0.198126,-0.195985,-0.077272,-0.061539,-0.193793,-0.061539,0.124779,3
0.381172,-0.892864,-1.028129,0.365279,0.710029,0.311173,0.298305,0.689621,0.493798,0.736579,0.159261,0.393910,-0.237243,0.598491,-0.151741,0.574514,0.758806,-0.166620,0.571507,0.408648,0.387849,0.334254,0.609638,0.750443,0.697865,0.777585,0.700378,0.573367,0.773344,0.573366,0.421169,3
0.188344,-1.087341,-1.260356,0.150334,0.399590,-0.359950,-0.462171,-0.059240,0.035995,0.244189,-0.204882,0.164730,-0.289439,0.213095,-0.258445,0.369179,0.222826,-0.258445,0.327338,0.026424,0.087053,-0.039668,0.368978,0.511009,1.456892,0.686655,0.520870,0.345423,0.697363,0.345423,0.127342,3
-0.108463,0.383022,0.151993,-0.872970,-1.242459,1.543749,1.265282,0.852642,-0.946197,-0.457164,-0.878972,-0.685690,-0.646987,-0.301422,0.104552,-0.201273,-0.192175,0.104552,-0.798998,-0.644975,-0.754606,-0.542353,-0.761560,-1.115793,1.377775,-0.749447,-1.013350,-0.544434,-0.749448,-0.544434,0.000000,3
