Description,Word No,valence,Val SD,Arousal,ArousalSD,Dominance,DominanceSd,Frequency
absurd,623,4.26,1.82,4.36,2.2,4.73,1.72,17
annoy,20,2.84,1.81,6.49,2.17,5.09,2.04,2
cpmputer,552,6.24,1.61,4.75,1.93,5.29,Jan-04,13
